code,address,city,state,zip,square_footage,year_opened,county_fips,county_name,description
,53 Sturbridge Road,Charlton,Massachusetts,1507,644000,2023,25027,Worcester,Small Sortable. Not confirmed yet.
BOS3,1450 Osgood St Essex,North Andover,Massachusetts,1845,855000,2021,25009,Essex,Small Sortable
SMA2,1025 Elm Street,Bridgewater,Massachusetts,2324,350000,2021,25023,Plymouth,Mini Fulfillment Center / Amazon Fresh / Delivery Station for South Boston Region - Same Day Delivery Service within 45 minutes Drive Time
BOS7,1180 Innovation Way,Fall River,Massachusetts,02722-4766,1015700,2016,2722,Bristol County,"Large Non-Sortable products longer than 16"""
ASH1,267 Lowell Rd,Hudson,New Hampshire,03051-4937,1000000,2021,33011,Hillsborough,Role of Facility TBD. 3 Buildings to be developed on a campus. Sq Ft is an estimate Being contested.
BDL2,200 Old Iron Ore Road,Windsor,Connecticut,6095,1059200,2016,9003,Hartford,"Small Sortable 3000 Associates: 4000 Robots Ships toys, clothes, electronics, books"
BDL4,1215 Kennedy Road,Windsor,Connecticut,06095-1345,640000,2021,9003,Hartford,Small Sortable Will employ 1000 associates
BDL6,120 County Line Drive,Cromwell,Connecticut,06416-1186,403000,2020,9007,Middlesex,"Large Non-Sortable for Televisions, Furniture, mattresses, kayaks, grills and exercise equipment"
BDL3,409 Washington Avenue,North Haven,Connecticut,6473,855000,2019,9009,New Haven,Sortable 5.500 associates Facility being expanded
LGA6/EWR9,8003 Industrial Ave Building A,Carteret,New Jersey,07008-3529,1064500,2016,34023,Middlesex,EWR9 is Small Sortable Amazon Robotics LGA6 is Legacy Non-Sortable
LGA7/LGA8/DNJ1/HEW1/CDW5,380 Middlesex Ave,Carteret,New Jersey,07008-3446,810000,2016,34023,Middlesex,LGA7 is a Small Sortable Robotics Fulfillment Center LGA8 is Quick Deploy facility DNJ1 is a Delivery Station HEW1 is a Heavy Bulky Delivery Station. CDW5 is a Sortation Center.
EWR8/MMU9,698 Route 46 West,Teterboro,New Jersey,7608,617000,2017,34003,Bergen,Small Sortable
ACY2,1101 E Pearl St,Burlington,New Jersey,08016-1934,101570,2019,34005,Burlington,Large Non-Sortable
ACY8,8 Campus Drive,Burlington,New Jersey,8016,253500,2021,34005,Burlington,Role of Facility TBD.
SNJ3,86 Stemmers Lane,Westhampton Beach,New Jersey,8060,180000,2022,34005,Burlington,Mini Fulfillment Center / Amazon Fresh for Philadelphia Same Day Delivery Service within 45 minutes Drive Time. To be confirmed.
ACY1,240 Mantua Grove Road,West Deptford,New Jersey,08066-1731,650000,2018,34015,Gloucester,Small Sortable
IVSC,1225 Forest Pkwy,West Deptford,New Jersey,8066,494000,2018,34015,Gloucester,Specialty Small and Light Products
TEB4,738 Courses Landing Point,,New Jersey,8069,1250000,2021,34033,Salem,Large Non-Sortable Facility
IVSD,800 Arlington Blvd,Swedesboro,New Jersey,08085-2594,470100,2018,34015,Gloucester,Specialty Small and Light Products
TEB3,2651 Oldmans Creek Rd Swedesboro,Logan Township,New Jersey,8085,118120,2017,34015,Gloucester,Large Non-Sortable
TEB6,22 Hightstown-Cranbury Station Road,Cranbury,New Jersey,8512,992000,2017,34023,Middlesex,Large Non-Sortable
TTN2/HEW4,343 Half Acre Rd,Cranbury,New Jersey,08512-3253,953600,2021,34023,Middlesex,TTN2 is a Large Non-Sortable Facility. HEW4 is a co-located Heavy/Bulky Delivery Station
EWR1/EWR4,50 New Canton Way,Robbinsville,New Jersey,08691-2350,1039500,2014,34021,Mercer,Small Sortable 3500 associates
LGA9,2170 Lincoln Highway (NJ-27),Edison,New Jersey,08817-3332,923000,2017,34023,Middlesex,Small Sortable
XUSQ,152 Route 206,Hillsborough,New Jersey,8844,510500,2018,34035,Somerset,Large Non-Sortable 3PL facility.
JFK8,546 Gulf Ave,Staten Island,New York,10314,855000,2018,36085,Richmond,JFK8 is a Small Sortable FC.
PNY2,34 35th Street Suite 4BSW,Brooklyn,New York,11232,900000,2020,36047,Kings,Amazon Pharmacy #004 - PillPack New York City Distribution Center
ALB1,1835 US Route 9,Castleton,New York,12033,101570,2020,36083,Rensselaer,Large Non-Sortable.
SWF1,635 International Blvd Rock Tavern,Montgomery,New York,12575-5150,101090,2021,36071,Orange,Large Non-Sortable Facility. Project Sailfish
SYR1,7211 Morgan Road Liverpool,Clay,New York,13090-4534,820000,2022,36067,Onondaga,Small Sortable. 4-levels totaling 3.8M sq ft
,2600 Manitou Road Gates,Rochester,New York,14624,640000,2022,36055,Monroe,Small Sortable for Rochester NY Not yet Confirmed
PIT2,1200 Westport Road Findlay Township,Imperial,Pennsylvania,15126-2402,1000000,2020,42003,Allegheny,Large Non-Sortable.
,1310 Beulah Rd Churchill,Pittsburgh,Pennsylvania,15235,634800,2022,42003,Allegheny,Small Sortable 4 5 story building
XUSC,40 Logistics Drive,Carlisle,Pennsylvania,17013-7901,421200,2013,42041,Cumberland,"Large Non-Sortable (e g. fishing rods, canoes, etc.)"
PHL4,21 Roadway Drive,Carlisle,Pennsylvania,17015-8806,558700,2010,42041,Cumberland,Large Non-Sortable
MDT1,2 Ames Drive Building #2,Carlisle,Pennsylvania,17015,700000,2015,42041,Cumberland,Large Non-Sortable
PHL6,675 Allen Rd,Carlisle,Pennsylvania,17015-7788,833300,2010,42041,Cumberland,Large Non-Sortable
PHL5,500 McCarthy Dr,Lewisberry,Pennsylvania,17339-8725,705000,2010,42133,York,Large Non-Sortable
ABE1/ABE2,705 Boulder Drive,Breinigsville,Pennsylvania,18031-1533,615000,2010,42077,Lehigh,Large Sortable
ABE3,650 Boulder Drive,Breinigsville,Pennsylvania,18031-1536,483200,2011,42077,Lehigh,Soft Lines
ABE4,1610 Van Buren Road Easton,Palmer Township,Pennsylvania,18045-7807,1106400,2016,42095,Northampton,Large Sortable/Non-Sortable
AVP2/AVP3/HPH9,298 1st Avenue Gouldsboro,Covington Township,Pennsylvania,18424-9492,1250000,2010,42069,Lackawanna,Diaper.com Fulfillment Center that was owned by Quidsi Inc. which Amazon acquired in November . 2010. Currently a Non-Sortable facility.
AVP9,45 Valley View Drive Lackawanna,Jessup,Pennsylvania,18434,1027700,2021,42069,Lackawanna,Non-Sortable Fulfillment Center near Scranton. Role of Facility TBD
AVP8,250 Enterprise Way,Pittston Township,Pennsylvania,18640-5000,399500,2017,42079,Luzerne,Replaces AVP6 which was closed in July 2016 Supplemental Fulfillment Center (SFC). Part of the Kariba (KRB) Network
PPA1,545 Oak Hill Road,Mountaintop,Pennsylvania,18707-2141,NA,2016,42079,Luzerne,Amazon uses a portion of this space as a seasonal facility
ABE5,2455 Boulevard of the Generals,Norristown,Pennsylvania,19403,110400,2017,42091,Montgomery,Amazon's Woot! Apparel Manufacturing Plant to produce on demand up to 25 Million pieces of clcthing/year
RDG1,3563 Mountain Rd Hamburg,Upper Bern Township,Pennsylvania,19526-7948,1008900,2020,42011,Berks,Specialty Soft Lines
XUSG,9645 West Hills Court,Kutztown,Pennsylvania,19530-8644,413800,2014,42011,Berks,Large Non-Sortable 3PL NFI Industries
TEN1,1002 Patriot Pkwy Muhlenberg Township,Reading,Pennsylvania,19605-2874,609000,2020,42011,Berks,Role of Facility TBD.
PHL7/PHL9,560 Merrimac Ave,Middletown,Delaware,19709-4652,1035000,2012,10003,New Castle,PHL7 is Small Sortable PHL9 is Make on Demand Printing (MOD) 3.000 full time associates
PHL1,1 Centerpoint Blvd,New Castle,Delaware,19720-4172,202000,1997,10003,New Castle,Large Sortable Amazon’s 2nd DC in its network
ILG1,780 S Dupont Parkway,New Castle,Delaware,19720,1000000,2021,10003,New Castle,Specialty - Small and Light Products.
MTN1,1025 Boxwood Road Newport,Wilmington,Delaware,19804-2041,640000,2021,10003,New Castle,Former GM plant demolished for a 3 8M Sq Ft Facility. 5-story building
BWI1,45121 Global Plaza,Sterling,Virginia,20166,809000,2018,51107,Loudoun,Legacy Sortable
,100 Powers Court,Sterling,Virginia,20166,511000,2021,51107,Loudoun,Building used to supply structures and supplies for other facilities in the area
XUSP/HBA1,1100 Woodley Rd,Aberdeen,Maryland,21001-4042,656900,2018,24025,Harford,Large Non-Sortable Operated by Kuehne + Nagel
