"code","address","city","state","zip","square_footage","year_opened","county_fips","county_name","description","placenames","oc_formatted","oc_lat","oc_lng"
"","53 Sturbridge Road","Charlton","Massachusetts","1507",644000,2023,25027,"Worcester","Small Sortable. Not confirmed yet.","53 Sturbridge Road, Charlton, Massachusetts, 1507","53 Sturbridge Road, Charlton, MA 01507, United States of America",42.144112,-72.005751
"BOS3","1450 Osgood St Essex","North Andover","Massachusetts","1845",855000,2021,25009,"Essex","Small Sortable","1450 Osgood St Essex, North Andover, Massachusetts, 1845","1450 Osgood Street, North Andover, MA 01845, United States of America",42.72801,-71.1121453
"SMA2","1025 Elm Street","Bridgewater","Massachusetts","2324",350000,2021,25023,"Plymouth","Mini Fulfillment Center / Amazon Fresh / Delivery Station for South Boston Region - Same Day Delivery Service within 45 minutes Drive Time","1025 Elm Street, Bridgewater, Massachusetts, 2324","Elm Street, Bridgewater, MA, United States of America",41.969804,-71.018698
"BOS7","1180 Innovation Way","Fall River","Massachusetts","02722-4766",1015700,2016,2722,"Bristol County","Large Non-Sortable products longer than 16""","1180 Innovation Way, Fall River, Massachusetts, 02722-4766","Amazon Fulfillment BOS7, 1180 Innovation Way, Fall River, MA 02712, United States of America",41.7621205,-71.1001379
"ASH1","267 Lowell Rd","Hudson","New Hampshire","03051-4937",1000000,2021,33011,"Hillsborough","Role of Facility TBD. 3 Buildings to be developed on a campus. Sq Ft is an estimate Being contested.","267 Lowell Rd, Hudson, New Hampshire, 03051-4937","Vectron International, 267 Lowell Road, Hudson, Hillsborough County, NH 03051, United States of America",42.7220667,-71.4267891
"BDL2","200 Old Iron Ore Road","Windsor","Connecticut","6095",1059200,2016,9003,"Hartford","Small Sortable 3000 Associates: 4000 Robots Ships toys, clothes, electronics, books","200 Old Iron Ore Road, Windsor, Connecticut, 6095","200 Old Iron Ore Road, Windsor, CT 06095, United States of America",41.8790214,-72.7053692
"BDL4","1215 Kennedy Road","Windsor","Connecticut","06095-1345",640000,2021,9003,"Hartford","Small Sortable Will employ 1000 associates","1215 Kennedy Road, Windsor, Connecticut, 06095-1345","1215 Kennedy Road, Windsor, CT 06095, United States of America",41.8973877,-72.6525799
"BDL6","120 County Line Drive","Cromwell","Connecticut","06416-1186",403000,2020,9007,"Middlesex","Large Non-Sortable for Televisions, Furniture, mattresses, kayaks, grills and exercise equipment","120 County Line Drive, Cromwell, Connecticut, 06416-1186","Cannata Dr, Cromwell, CT, United States of America",41.61972,-72.662171
"BDL3","409 Washington Avenue","North Haven","Connecticut","6473",855000,2019,9009,"New Haven","Sortable 5.500 associates Facility being expanded","409 Washington Avenue, North Haven, Connecticut, 6473","409 Washington Avenue, North Haven, CT 06473, United States of America",41.4089019,-72.8437655
"LGA6/EWR9","8003 Industrial Ave Building A","Carteret","New Jersey","07008-3529",1064500,2016,34023,"Middlesex","EWR9 is Small Sortable Amazon Robotics LGA6 is Legacy Non-Sortable","8003 Industrial Ave Building A, Carteret, New Jersey, 07008-3529","Industrial Rd, Carteret, NJ, United States of America",40.592999,-74.226986
"LGA7/LGA8/DNJ1/HEW1/CDW5","380 Middlesex Ave","Carteret","New Jersey","07008-3446",810000,2016,34023,"Middlesex","LGA7 is a Small Sortable Robotics Fulfillment Center LGA8 is Quick Deploy facility DNJ1 is a Delivery Station HEW1 is a Heavy Bulky Delivery Station. CDW5 is a Sortation Center.","380 Middlesex Ave, Carteret, New Jersey, 07008-3446","380 Middlesex Avenue, Chrome, Carteret, NJ 07008, United States of America",40.5693473,-74.2205866
"EWR8/MMU9","698 Route 46 West","Teterboro","New Jersey","7608",617000,2017,34003,"Bergen","Small Sortable","698 Route 46 West, Teterboro, New Jersey, 7608","Teterboro, New Jersey, United States of America",40.85982,-74.05931
"ACY2","1101 E Pearl St","Burlington","New Jersey","08016-1934",101570,2019,34005,"Burlington","Large Non-Sortable","1101 E Pearl St, Burlington, New Jersey, 08016-1934","Amazon Fullfillment Center ACY2, 1101 East Pearl Street, East Burlington, Burlington Township, NJ 08016, United States of America",40.087113,-74.8380566
"ACY8","8 Campus Drive","Burlington","New Jersey","8016",253500,2021,34005,"Burlington","Role of Facility TBD.","8 Campus Drive, Burlington, New Jersey, 8016","8 Campus Drive, Orchard View, Burlington Township, NJ 08016, United States of America",40.0602784,-74.8811064
"SNJ3","86 Stemmers Lane","Westhampton Beach","New Jersey","8060",180000,2022,34005,"Burlington","Mini Fulfillment Center / Amazon Fresh for Philadelphia Same Day Delivery Service within 45 minutes Drive Time. To be confirmed.","86 Stemmers Lane, Westhampton Beach, New Jersey, 8060","New Jersey, United States of America",40.16706,-74.49987
"ACY1","240 Mantua Grove Road","West Deptford","New Jersey","08066-1731",650000,2018,34015,"Gloucester","Small Sortable","240 Mantua Grove Road, West Deptford, New Jersey, 08066-1731","240 Mantua Grove Road, West Deptford Township, NJ 08066, United States of America",39.8269015,-75.2196549
"IVSC","1225 Forest Pkwy","West Deptford","New Jersey","8066",494000,2018,34015,"Gloucester","Specialty Small and Light Products","1225 Forest Pkwy, West Deptford, New Jersey, 8066","1225 Forest Parkway, West Deptford Township, NJ 08066, United States of America",39.8298402,-75.2123667
