"group","county_fips","State","County_Name","RUCC_2013","lat_rounded","lng_rounded","oc_formatted","lat_rounded_fc","lng_rounded_fc"
"treatment",4013,"AZ","Maricopa County",1,33.355,-112.485,"7037 West Van Buren Street, Phoenix, AZ 85043, United States of America",33.455,-112.205
"treatment",4013,"AZ","Maricopa County",1,33.355,-112.485,"W Mohave St, Phoenix, AZ, United States of America",33.435,-112.155
"treatment",4013,"AZ","Maricopa County",1,33.355,-112.485,"Amazon PHX7, 800 North 75th Avenue, Phoenix, AZ 85043, United States of America",33.455,-112.225
"treatment",4013,"AZ","Maricopa County",1,33.355,-112.485,"Amazon TUS1, 5333 West Lower Buckeye Road, Phoenix, AZ 85043, United States of America",33.425,-112.175
"treatment",4013,"AZ","Maricopa County",1,33.355,-112.485,"Amazon PHX3, 6835 West Buckeye Road, Phoenix, AZ 85043, United States of America",33.435,-112.205
"treatment",4013,"AZ","Maricopa County",1,33.355,-112.485,"Amazon PHX5, 16920 West Commerce Drive, Goodyear, AZ 85338, United States of America",33.405,-112.415
"treatment",4013,"AZ","Maricopa County",1,33.355,-112.485,"Amazon PHX9, 777 South 79th Avenue, Phoenix, AZ 85353, United States of America",33.445,-112.225
"treatment",6065,"CA","Riverside County",1,33.745,-115.995,"Mira Loma, California, United States of America",33.985,-117.515
"treatment",6065,"CA","Riverside County",1,33.745,-115.995,"Krameria Avenue, Riverside, CA 92508, United States of America",33.885,-117.335
"treatment",6065,"CA","Riverside County",1,33.745,-115.995,"Amazon ONT6, 24208 San Michele Road, Moreno Valley, CA 92551, United States of America",33.865,-117.235
"treatment",6065,"CA","Riverside County",1,33.745,-115.995,"Nance Street, Perris, CA 92551, United States of America",33.855,-117.215
"treatment",6067,"CA","Sacramento County",1,38.455,-121.345,"4900 West Elkhorn Boulevard, Sacramento County, CA 95835, United States of America",38.685,-121.575
"treatment",6071,"CA","San Bernardino County",1,34.845,-116.175,"Amazon Fulfillment Center ONT9, 2125 West San Bernardino Avenue, Redlands, CA 92374, United States of America",34.075,-117.225
"treatment",6071,"CA","San Bernardino County",1,34.845,-116.175,"West Walnut Avenue, Rialto, CA 92376, United States of America",34.135,-117.375
"treatment",6071,"CA","San Bernardino County",1,34.845,-116.175,"Subaru, 1590 North Tamarind Avenue, Rialto, CA 92376, United States of America",34.125,-117.425
"treatment",6071,"CA","San Bernardino County",1,34.845,-116.175,"E Central Ave, San Bernardino, CA, United States of America",34.085,-117.245
"treatment",6071,"CA","San Bernardino County",1,34.845,-116.175,"Amazon, 555 East Orange Show Road, San Bernardino, CA 92408, United States of America",34.085,-117.275
"treatment",8001,"CO","Adams County",1,39.875,-104.335,"Amazon DEN2, 22205 East 19th Avenue, Aurora, CO 80019, United States of America",39.745,-104.725
"treatment",9003,"CT","Hartford County",1,41.805,-72.735,"200 Old Iron Ore Road, Windsor, CT 06095, United States of America",41.885,-72.705
"treatment",10003,"DE","New Castle County",1,39.585,-75.655,"Merrimac Avenue, Middletown, DE, United States of America",39.455,-75.735
"treatment",12031,"FL","Duval County",1,30.335,-81.665,"Amazon Fulfillment Center JAX2, 12900 Pecan Park Road, Jacksonville, FL 32218, United States of America",30.465,-81.685
"treatment",12031,"FL","Duval County",1,30.335,-81.665,"Amazon Fulfillment Center JAX3, 13333 103rd Street, Jacksonville, FL 32221, United States of America",30.255,-81.865
"treatment",12057,"FL","Hillsborough County",1,27.935,-82.305,"TPA1 Amazon Fulfillment Center, 3350 Laurel Ridge Avenue, Hillsborough County, FL 33570, United States of America",27.735,-82.385
"treatment",12095,"FL","Orange County",1,28.515,-81.325,"7469 Kingspointe Parkway, Orlando, FL 32819, United States of America",28.465,-81.435
"treatment",12095,"FL","Orange County",1,28.515,-81.325,"West Landstreet Road, Orange County, FL 32859, United States of America",28.435,-81.405
"treatment",13097,"GA","Douglas County",1,33.705,-84.765,"Thornton Road, Lithia Springs, GA 30122, United States of America",33.795,-84.635
"treatment",17043,"IL","DuPage County",1,41.855,-88.085,"Ferry Road, Aurora, IL 60502, United States of America",41.815,-88.235
"treatment",17097,"IL","Lake County",1,42.325,-88.005,"W Brooke Ave, Waukegan, IL, United States of America",42.395,-87.875
"treatment",17119,"IL","Madison County",1,38.835,-89.905,"Amazon STL6/STL7/HLU1, 3931 Lakeview Corporate Drive, Hartford, Madison County, IL 62048, United States of America",38.785,-90.075
"treatment",17119,"IL","Madison County",1,38.835,-89.905,"Amazon STL4, 3050 Gateway Commerce Center Drive South, Edwardsville, IL 62025, United States of America",38.775,-90.035
"treatment",17197,"IL","Will County",1,41.445,-87.975,"Emerald Drive, Joliet, IL 60433, United States of America",41.485,-88.065
"treatment",17197,"IL","Will County",1,41.445,-87.975,"Remington Blvd, Romeoville, IL, United States of America",41.665,-88.115
"treatment",17197,"IL","Will County",1,41.445,-87.975,"Amazon Fulfillment Center MDW7, 6605 West Monee Manhattan Road, Monee, Will County, IL 60449, United States of America",41.425,-87.775
"treatment",18011,"IN","Boone County",1,40.045,-86.465,"Amazon.com Fulfillment Center (IND1), 4255 Anson Blvd, Whitestown, Boone County, IN 46075, United States of America",39.975,-86.375
"treatment",18011,"IN","Boone County",1,40.045,-86.465,"Industrial Dr, Carmel, IN, United States of America",39.975,-86.135
"treatment",18019,"IN","Clark County",1,38.475,-85.705,"Amazon SDF8, 900 Patrol Road, Jeffersonville, IN 47130, United States of America",38.385,-85.685
"treatment",18063,"IN","Hendricks County",1,39.775,-86.505,"Plainfield, Indiana, United States of America",39.705,-86.395
"treatment",18063,"IN","Hendricks County",1,39.775,-86.505,"800 Perry Road, Plainfield, IN 46168, United States of America",39.695,-86.355
"treatment",18063,"IN","Hendricks County",1,39.775,-86.505,"710 South Girls School Road, Indianapolis, IN 46231, United States of America",39.755,-86.285
"treatment",18097,"IN","Marion County",1,39.785,-86.135,"Oriole Ct, Indianapolis, IN, United States of America",39.745,-86.325
"treatment",20091,"KS","Johnson County",1,38.885,-94.825,"Edgerton Rd, Gardner, KS, United States of America",38.845,-95.015
"treatment",20209,"KS","Wyandotte County",1,39.115,-94.765,"Amazon MKC6, 6925 Riverview Avenue, Kansas City, KS 66102, United States of America",39.095,-94.735
"treatment",21015,"KY","Boone County",1,38.975,-84.725,"Amazon Fullfillment Center CVG2, 1600 Worldwide Boulevard, Hebron, Boone County, KY 41048, United States of America",39.085,-84.725
"treatment",21015,"KY","Boone County",1,38.975,-84.725,"Amazon AUV1, 3521 Point Pleasant Road, Hebron, Boone County, KY 41048, United States of America",39.055,-84.635
"treatment",21015,"KY","Boone County",1,38.975,-84.725,"1155 Worldwide Blvd, Hebron, KY, United States of America",39.085,-84.725
"treatment",21029,"KY","Bullitt County",1,37.975,-85.695,"Shepherdsville, Kentucky, United States of America",37.965,-85.705
"treatment",21029,"KY","Bullitt County",1,37.975,-85.695,"Omega Parkway, Shepherdsville, Bullitt County, KY 40165, United States of America",37.975,-85.685
"treatment",21029,"KY","Bullitt County",1,37.975,-85.695,"Thomas St, Radcliff, KY, United States of America",37.825,-85.935
"treatment",21111,"KY","Jefferson County",1,38.195,-85.655,"4360 Robards Lane, Watterson Park, Jefferson County, KY 40218, United States of America",38.195,-85.695
"treatment",21117,"KY","Kenton County",1,38.935,-84.535,"4620 Olympic Boulevard, Erlanger, KY 41018, United States of America",39.045,-84.615
"treatment",24015,"MD","Cecil County",1,39.575,-75.935,"Cecil Pkwy, North East, MD, United States of America",39.575,-75.975
"treatment",24510,"MD","Baltimore city",1,39.305,-76.615,"BWI2 Amazon Fulfillment Center, 2010 Broening Highway, Point Breeze, Baltimore, MD 21224, United States of America",39.275,-76.545
"treatment",26163,"MI","Wayne County",1,42.285,-83.275,"39000 Amrhein Road, Livonia, MI 48150, United States of America",42.375,-83.425
