"county_fips","State","County_Name","Population_2010","RUCC_2013","Description","fips_code","name","lng","lat","lat_rounded","lng_rounded","code","address","city","state","zip","square_footage","year_opened","county_name","description","placenames","oc_formatted","oc_lat","oc_lng","lat_rounded_fc","lng_rounded_fc","group"
4013,"AZ","Maricopa County",3817117,1,"Metro - Counties in metro areas of 1 million population or more",4013,"Maricopa",-112.4908888,33.34875974,33.355,-112.485,"XUSH","7037 West Van Buren Street","Phoenix","Arizona","85043-3313",543400,2015,"Maricopa","Large Non-Sortable EC Run by 3PL XPO Logistics","7037 West Van Buren Street, Phoenix, Arizona, 85043-3313","7037 West Van Buren Street, Phoenix, AZ 85043, United States of America",33.4515836,-112.2108633,33.455,-112.205,"treatment"
4013,"AZ","Maricopa County",3817117,1,"Metro - Counties in metro areas of 1 million population or more",4013,"Maricopa",-112.4908888,33.34875974,33.355,-112.485,"PHX6/TFC1","4750 & 5050 West Mohave Street","Phoenix","Arizona","85043-8305",120560,2010,"Maricopa","Large Sortable Fulfillment Center in one half of the building Small Sortable Fulfillment Center in the other half","4750 & 5050 West Mohave Street, Phoenix, Arizona, 85043-8305","W Mohave St, Phoenix, AZ, United States of America",33.431184,-112.156568,33.435,-112.155,"treatment"
4013,"AZ","Maricopa County",3817117,1,"Metro - Counties in metro areas of 1 million population or more",4013,"Maricopa",-112.4908888,33.34875974,33.355,-112.485,"PHX7/PHX8/TEN3","800 N 75th Ave","Phoenix","Arizona","85043-3101",1267100,2011,"Maricopa","PHX7 is Large Non-Sortable","800 N 75th Ave, Phoenix, Arizona, 85043-3101","Amazon PHX7, 800 North 75th Avenue, Phoenix, AZ 85043, United States of America",33.4570785,-112.2253997,33.455,-112.225,"treatment"
4013,"AZ","Maricopa County",3817117,1,"Metro - Counties in metro areas of 1 million population or more",4013,"Maricopa",-112.4908888,33.34875974,33.355,-112.485,"TUS1","5333 West Lower Buckeye Rd","Phoenix","Arizona","85043",473200,2017,"Maricopa","Returns Facility","5333 West Lower Buckeye Rd, Phoenix, Arizona, 85043","Amazon TUS1, 5333 West Lower Buckeye Road, Phoenix, AZ 85043, United States of America",33.4209106,-112.175888,33.425,-112.175,"treatment"
4013,"AZ","Maricopa County",3817117,1,"Metro - Counties in metro areas of 1 million population or more",4013,"Maricopa",-112.4908888,33.34875974,33.355,-112.485,"PHX3","6835 West Buckeye Road","Phoenix","Arizona","85043-4428",1009400,2007,"Maricopa","Legacy Sortable Fulfillment Center Originally opened at 605.000 Sq. Ft and expanded by 400,000 Sq Ft in Dec. 2011","6835 West Buckeye Road, Phoenix, Arizona, 85043-4428","Amazon PHX3, 6835 West Buckeye Road, Phoenix, AZ 85043, United States of America",33.4333242,-112.2077965,33.435,-112.205,"treatment"
4013,"AZ","Maricopa County",3817117,1,"Metro - Counties in metro areas of 1 million population or more",4013,"Maricopa",-112.4908888,33.34875974,33.355,-112.485,"PHX5","16920 W Commerce Dr","Goodyear","Arizona","85338-3620",820400,2008,"Maricopa","Large Non-Sortable Fulfillment Center. Originally opened as PHX4 Delayed Allocation facility at 800.000 Sq. Ft. and expanded to 1.2 Million Sq. Ft by adding 2 x 230,000 sq ft mezzanines in 2011","16920 W Commerce Dr, Goodyear, Arizona, 85338-3620","Amazon PHX5, 16920 West Commerce Drive, Goodyear, AZ 85338, United States of America",33.4121535,-112.4219521,33.405,-112.415,"treatment"
4013,"AZ","Maricopa County",3817117,1,"Metro - Counties in metro areas of 1 million population or more",4013,"Maricopa",-112.4908888,33.34875974,33.355,-112.485,"PHX9","777 S 79th Ave","Tolleson","Arizona","85353-3140",NA,2015,"Maricopa","PHX9 is a Seasonal Supplemental FC within a Pepsi/Quaker building.","777 S 79th Ave, Tolleson, Arizona, 85353-3140","Amazon PHX9, 777 South 79th Avenue, Phoenix, AZ 85353, United States of America",33.4410429,-112.2272822,33.445,-112.225,"treatment"
6065,"CA","Riverside County",2189641,1,"Metro - Counties in metro areas of 1 million population or more",6065,"Riverside",-115.9939021,33.74329781,33.745,-115.995,"SNA6/SLA5/SNA9/DCA2","5250 Goodman Way 5040 Goodman Way, Building B","Eastvale","California","91752-5088",103320,2016,"Riverside","SNA6 is Amazon Robotics Sortable. SLA5 is likely a sortation center. SNA9 is Amazon Robotics Quick Deploy Fulfillment Center which includes Print on Demand Book facility. Amazon Fresh facility. Delivery Station DCA2 is focused on food delivery for Whole Foods / Amazon Fresh stores","5250 Goodman Way 5040 Goodman Way, Building B, Eastvale, California, 91752-5088","Mira Loma, California, United States of America",33.98549,-117.51472,33.985,-117.515,"treatment"
6065,"CA","Riverside County",2189641,1,"Metro - Counties in metro areas of 1 million population or more",6065,"Riverside",-115.9939021,33.74329781,33.745,-115.995,"LGB6","20901 Krameria Avenue","Riverside","California","92508",1000000,2017,"Riverside","Large Non-Sortable","20901 Krameria Avenue, Riverside, California, 92508","Krameria Avenue, Riverside, CA 92508, United States of America",33.8799675,-117.3400952,33.885,-117.335,"treatment"
6065,"CA","Riverside County",2189641,1,"Metro - Counties in metro areas of 1 million population or more",6065,"Riverside",-115.9939021,33.74329781,33.745,-115.995,"ONT6/HLA3","24208 San Michele Rd","Moreno Valley","California","92551-9561",1254600,2014,"Riverside","ONT6 is a Legacy Apparel & Footwear Fulfillment Center with 1,800 associates HLA3 is a heavy/bulky delivery station for products 60 - 300 Lbs","24208 San Michele Rd, Moreno Valley, California, 92551-9561","Amazon ONT6, 24208 San Michele Road, Moreno Valley, CA 92551, United States of America",33.8720683,-117.2381747,33.865,-117.235,"treatment"
