"FIPS","State","County_Name","Population_2010","RUCC_2013","Description","fips_code","name","lng","lat","lat_rounded","lng_rounded"
"01001","AL","Autauga County",54571,2,"Metro - Counties in metro areas of 250,000 to 1 million population",1001,"Autauga",-86.64289976,32.53514228,32.535,-86.645
"01003","AL","Baldwin County",182265,3,"Metro - Counties in metro areas of fewer than 250,000 population",1003,"Baldwin",-87.72274477,30.72782468,30.735,-87.725
"01005","AL","Barbour County",27457,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",1005,"Barbour",-85.39106787,31.87009042,31.875,-85.385
"01007","AL","Bibb County",22915,1,"Metro - Counties in metro areas of 1 million population or more",1007,"Bibb",-87.12681433,32.99837607,33.005,-87.125
"01009","AL","Blount County",57322,1,"Metro - Counties in metro areas of 1 million population or more",1009,"Blount",-86.5670064,33.98087061,33.975,-86.565
"01011","AL","Bullock County",10914,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",1011,"Bullock",-85.71572943,32.10045868,32.105,-85.715
"01013","AL","Butler County",20947,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",1013,"Butler",-86.68040924,31.75252432,31.755,-86.675
"01015","AL","Calhoun County",118572,3,"Metro - Counties in metro areas of fewer than 250,000 population",1015,"Calhoun",-85.82574705,33.77141549,33.775,-85.825
"01017","AL","Chambers County",34215,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",1017,"Chambers",-85.39168915,32.91366622,32.915,-85.385
"01019","AL","Cherokee County",25989,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",1019,"Cherokee",-85.60387066,34.17588713,34.175,-85.605
"01021","AL","Chilton County",43643,1,"Metro - Counties in metro areas of 1 million population or more",1021,"Chilton",-86.71887934,32.84771004,32.855,-86.715
"01023","AL","Choctaw County",13859,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",1023,"Choctaw",-88.26305322,32.02019311,32.025,-88.265
"01025","AL","Clarke County",25833,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",1025,"Clarke",-87.83077181,31.67695451,31.675,-87.825
"01027","AL","Clay County",13932,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",1027,"Clay",-85.8607443,33.26966941,33.275,-85.855
"01029","AL","Cleburne County",14972,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1029,"Cleburne",-85.51786948,33.67495934,33.675,-85.515
